Structure Acceleration, RAO-Based Response,,
Line A: Structure Acceleration, RAO-Based Response - Global RZ (Trimaran) [?s²],,
Line B: Structure Acceleration, RAO-Based Response - Global Y (Trimaran - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [mm/s²],,
Line C: Structure Acceleration, RAO-Based Response - Global X (Trimaran - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [mm/s²],,
,,,
*Time (s),Line A (?s?,Line B (mm/s?,Line C (mm/s?
103.461,3.31E-02,0.178957067,2.271966776
103.462,3.32E-02,0.212666258,2.26567965
103.463,3.32E-02,0.248932396,2.258955501
103.464,3.32E-02,0.288971729,2.251575934
103.465,3.31E-02,0.334805169,2.242991468
103.466,0.032980952,0.390121189,2.232228639
103.467,3.28E-02,0.462380645,2.216973109
103.468,3.27E-02,0.569459866,2.190902829
103.469,3.24E-02,0.767384074,2.12911074
103.47,3.22E-02,1.344472636,1.820493722
103.471,3.19E-02,1.489316579,-1.704612048
103.472,0.031578392,0.250008423,-2.250397811
103.473,3.13E-02,-2.33E-02,-2.26185401
103.474,3.10E-02,-0.133676673,-2.251877915
103.475,3.08E-02,-0.190483639,-2.242110204
103.476,3.06E-02,-0.222707982,-2.233890118
103.477,3.04E-02,-0.241231581,-2.227115212
103.478,3.03E-02,-0.251044286,-2.221553354
103.479,3.02E-02,-0.254754414,-2.216988243
103.48,3.01E-02,-0.253861072,-2.213270171
103.481,3.01E-02,-0.249302509,-2.210245002
103.482,3.01E-02,-0.241705799,-2.207778161
103.483,3.01E-02,-0.231546292,-2.205789089
103.484,3.01E-02,-0.219197653,-2.20417208
103.485,3.01E-02,-0.204992277,-2.20283214
103.486,3.02E-02,-0.189257524,-2.201664727
103.487,3.02E-02,-0.172317843,-2.200622344
103.488,3.03E-02,-0.154505775,-2.199565293
103.489,3.04E-02,-0.136202929,-2.19849823
103.49,0.030477051,-0.117788055,-2.197292633
103.491,3.06E-02,-9.97E-02,-2.195947571
103.492,3.06E-02,-8.24E-02,-2.194393426
103.493,3.07E-02,-6.63E-02,-2.192613436
103.494,3.08E-02,-5.20E-02,-2.190593397
103.495,3.08E-02,-4.00E-02,-2.188328886
