Structure Acceleration, RAO-Based Response
Line A: Structure Acceleration, RAO-Based Response - Global RX (Trimaran) [°/s²]
Line B: Structure Acceleration, RAO-Based Response - Global RY (Trimaran) [°/s²]
Line C: Structure Acceleration, RAO-Based Response - Global RZ (Trimaran) [°/s²]

*Time (s),Line A (°/s²),Line B (°/s²),Line C (°/s²)
99.749,-.632338464260101,-.401651084423065,-.11622466146946
99.75,-.647089004516602,-.393494725227356,-.116101451218128
99.751,-.660350501537323,-.382011145353317,-.115483343601227
99.752,-.671947538852692,-.366715788841248,-.114326484501362
99.753,-.681950330734253,-.346839845180512,-.112567044794559
99.754,-.689756095409393,-.322306871414185,-.110183909535408
99.755,-.695270419120789,-.292463541030884,-.107115395367146
99.756,-.697710633277893,-.257395535707474,-.103343442082405
99.757,-.696635842323303,-.216827645897865,-9.88227277994156E-02
99.758,-.691232264041901,-.170985594391823,-9.35359969735146E-02
99.759,-.681045830249786,-.119772434234619,-8.74451622366905E-02
99.76,-.666825830936432,-6.99730217456818E-02,-7.68890604376793E-02
99.761,-.64746618270874,-1.71456150710583E-02,-6.48106709122658E-02
99.762,-.621971845626831,3.75045426189899E-02,-5.16212023794651E-02
99.763,-.590685606002808,.093723326921463,-3.74121814966202E-02
99.764,-.553291141986847,.14957968890667,-2.23957840353251E-02
99.765,-.510556578636169,.204557776451111,-6.77169905975461E-03
99.766,-.463033199310303,.257200926542282,9.18079447001219E-03
99.767,-.411892801523209,.307110279798508,2.51850690692663E-02
99.76801,-.358213365077972,.353470027446747,4.09383028745651E-02
99.769,-.303197503089905,.395718842744827,5.61549998819828E-02
99.77,-.248159125447273,.43402773141861,7.05909729003906E-02
99.771,-.194280117750168,.468801736831665,8.40445160865784E-02
99.772,-.142506912350655,.499884635210037,9.63593870401382E-02
99.773,-9.37275141477585E-02,.527957379817963,.107438810169697
99.774,-4.86186295747757E-02,.553530991077423,.117230221629143
99.775,-7.67491152510047E-03,.573812067508698,.125211402773857
99.776,2.84823421388865E-02,.591755330562592,.131856575608253
99.777,5.96922673285007E-02,.609542846679688,.137345924973488
99.778,8.58533009886742E-02,.626866042613983,.14172999560833
99.779,.106948412954807,.644075870513916,.145065426826477
99.78,.123060800135136,.661938309669495,.147408738732338
99.781,.134207651019096,.680151879787445,.148823976516724
99.78201,.140525192022324,.699323654174805,.149367913603783
99.783,.142054855823517,.719013392925262,.149103865027428
99.784,.138932228088379,.739456832408905,.148088529706001
99.785,.131279617547989,.760596811771393,.14638015627861
99.786,.119258850812912,.782575190067291,.144035130739212
99.787,.102960139513016,.804513335227966,.141116857528687
99.788,8.26422050595284E-02,.826977849006653,.137680426239967
99.789,.058504480868578,.84953761100769,.133789107203484
99.79,3.08076590299606E-02,.871996939182281,.129506170749664
99.791,-.000151157961227,.893906831741333,.124897919595242
99.792,-3.40122729539871E-02,.915580153465271,.120030373334885
99.793,-7.02335685491562E-02,.932242393493652,.114603161811829
99.794,-.108274310827255,.947168290615082,.108966775238514
99.795,-.147649139165878,.960653126239777,.103270724415779
99.79601,-.187911614775658,.973452150821686,9.75903496146202E-02
99.797,-.228503346443176,.98463898897171,9.19907689094543E-02
99.798,-.269011229276657,.995057821273804,8.65406692028046E-02
99.799,-.308930993080139,1.00436532497406,8.12958255410194E-02
99.8,-.347914218902588,1.01323103904724,7.63132199645042E-02
99.801,-.385509967803955,1.02137291431427,.071633942425251
99.802,-.421516209840775,1.02973091602325,6.73053860664368E-02
99.803,-.455460608005524,1.03758537769318,.063346728682518
99.804,-.4872927069664,1.04611575603485,5.97964935004711E-02
99.805,-.516704320907593,1.05506980419159,5.66667057573795E-02
99.806,-.543455719947815,1.06443190574646,5.39667941629887E-02
99.807,-.567513167858124,1.07487690448761,.051714152097702
99.808,-.588615596294403,1.08611786365509,4.99060265719891E-02
99.809,-.606832027435303,1.09901821613312,4.85591851174831E-02
99.81001,-.621913313865662,1.11326396465302,4.76666651666164E-02
99.811,-.633664965629578,1.12876033782959,4.72245141863823E-02
99.812,-.642147898674011,1.14630591869354,4.72480915486813E-02
99.813,-.647070705890656,1.16554367542267,.047729454934597
