Structure Acceleration, RAO-Based Response,,
Line A: Structure Acceleration, RAO-Based Response - Global RZ (Trimaran) [?s²],,
Line B: Structure Acceleration, RAO-Based Response - Global Y (Trimaran - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [mm/s²],,
Line C: Structure Acceleration, RAO-Based Response - Global X (Trimaran - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [mm/s²],,
,,,
*Time (s),Line A (?s?,Line B (mm/s?,Line C (mm/s?
102.72,-6.22E-03,-0.261743349,-1.693235128
102.721,-6.19E-03,-0.254838902,-1.693317667
102.722,-6.17E-03,-0.245463219,-1.693745609
102.723,-6.14E-03,-0.2320528,-1.694693696
102.724,-6.12E-03,-0.211265942,-1.696466468
102.725,-6.09E-03,-0.17442333,-1.699707587
102.726,-6.07E-03,-8.94E-02,-1.705327188
102.72701,-6.04E-03,0.334442477,-1.673592255
102.728,-6.02E-03,0.741197146,1.5360869
102.729,-6.01E-03,0.433957524,1.648047823
102.73,-6.01E-03,0.355354248,1.665319782
102.731,-6.00E-03,0.320921157,1.670837868
102.732,-6.00E-03,0.303076871,1.672751503
102.733,-5.99E-03,0.29319516,1.673157443
102.734,-5.98E-03,0.287859351,1.672780025
102.735,-5.96E-03,0.285440474,1.671966515
102.736,-5.94E-03,0.285058573,1.6708693
102.737,-5.92E-03,0.286200346,1.669568941
102.738,-5.90E-03,0.288541632,1.668144716
102.739,-5.87E-03,0.291872944,1.666604425
102.74,-5.84E-03,0.296041428,1.66501198
102.741,-5.81E-03,0.300938002,1.663316973
102.742,-5.77E-03,0.306473812,1.661131508
102.743,-5.73E-03,0.31258227,1.658250578
102.744,-5.69E-03,0.31923363,1.655152999
102.745,-5.65E-03,0.326409703,1.651857281
102.746,-5.60E-03,0.33411145,1.648360281
102.747,-5.55E-03,0.342352898,1.64463697
102.748,-5.50E-03,0.350860792,1.640803413
102.749,-5.46E-03,0.358464604,1.637217007
102.75,-5.42E-03,0.364972395,1.634007902
102.751,-5.38E-03,0.370466383,1.631116727
102.752,-5.36E-03,0.374995405,1.62856013
102.753,-5.33E-03,0.378574332,1.626368146
102.754,-5.32E-03,0.381172227,1.624512603
102.755,-5.31E-03,0.382754253,1.623037853
102.756,-5.30E-03,0.383290753,1.621947857
102.757,-5.30E-03,0.382754602,1.621213742
102.758,-5.30E-03,0.381079328,1.620883471
102.759,-5.31E-03,0.3781704,1.62092282
102.76,-5.32E-03,0.373889896,1.621369855
102.761,-5.33E-03,0.368039357,1.622231095
102.762,-5.35E-03,0.360303326,1.623545075
102.763,-5.37E-03,0.350217015,1.625408535
102.764,-5.38E-03,0.33759349,1.62770052
102.765,-5.40E-03,0.324198365,1.629223698
102.766,-5.41E-03,0.310430885,1.629988546
102.767,-5.41E-03,0.295862323,1.630952931
102.76801,-5.41E-03,0.279253203,1.632276806
102.769,-5.40E-03,0.255826628,1.634648652
102.77,-5.38E-03,0.168427621,1.644670498
102.771,-5.36E-03,-0.320463791,-1.620744006
102.772,-5.34E-03,-0.293140358,-1.624687109
102.773,-5.33E-03,-0.292607612,-1.623509452
102.774,-5.31E-03,-0.297529099,-1.621219679
102.775,-5.30E-03,-0.304936955,-1.618416514
102.776,-5.30E-03,-0.313964352,-1.615154324
102.777,-5.29E-03,-0.324301247,-1.611501095
102.778,-5.29E-03,-0.33579694,-1.607468119
102.779,-5.29E-03,-0.348371657,-1.603037701
102.78,-5.30E-03,-0.361963699,-1.598222996
102.781,-5.31E-03,-0.376483396,-1.592991757
102.78201,-5.31E-03,-0.391832495,-1.587374718
102.783,-5.33E-03,-0.407853979,-1.581369899
102.784,-5.34E-03,-0.424370344,-1.575039001
102.785,-5.35E-03,-0.441139098,-1.568455715
102.786,-0.005362244,-0.45785628,-1.561664161
102.787,-5.37E-03,-0.4741741,-1.554804156
102.788,-5.38E-03,-0.489700877,-1.548069529
102.789,-5.39E-03,-0.503960589,-1.541606849
102.79,-5.39E-03,-0.516465865,-1.535655698
102.791,-5.39E-03,-0.526671298,-1.530488837
102.792,-5.39E-03,-0.534004648,-1.526344218
102.793,-5.37E-03,-0.537870161,-1.523543033
102.794,-5.35E-03,-0.537640997,-1.52230938
102.795,-5.32E-03,-0.532701379,-1.522930339
102.79601,-5.28E-03,-0.52241981,-1.525541069
102.797,-5.24E-03,-0.506184064,-1.5302588
102.798,-5.18E-03,-0.483431329,-1.537088538
102.799,-5.11E-03,-0.453660934,-1.545857056
102.8,-5.03E-03,-0.416488299,-1.556245959
102.801,-4.94E-03,-0.371702772,-1.567785279
102.802,-4.85E-03,-0.319341838,-1.579750329
102.803,-4.74E-03,-0.25977855,-1.59143284
102.804,-4.63E-03,-0.194043969,-1.597283874
102.805,-4.51E-03,-0.123644786,-1.60036562
102.806,-4.39E-03,-5.05E-02,-1.600261545
102.807,-4.24E-03,2.30E-02,-1.596619608
102.808,-4.07E-03,9.40E-02,-1.589534106
102.809,-3.88E-03,0.159289251,-1.57957687
102.81001,-3.65E-03,0.215524749,-1.567989355
102.811,-3.37E-03,0.259304623,-1.556530944
102.812,-3.06E-03,0.287338044,-1.547352294
102.813,-2.81E-03,0.290941302,-1.528201741
102.814,-2.59E-03,0.273025711,-1.509073423
102.815,-2.39E-03,0.236717256,-1.495787874
102.816,-2.23E-03,0.183818775,-1.487867325
102.817,-2.11E-03,0.117103918,-1.483430155
102.818,-2.03E-03,4.08E-02,-1.480188686
102.819,-2.05E-03,-0.039106686,-1.475247554
102.82,-2.05E-03,-0.114580529,-1.470829477
102.821,-2.02E-03,-0.177142123,-1.468800125
102.822,-2.11E-03,-0.218340167,-1.470386167
102.823,-2.25E-03,-0.230263642,-1.480746898
102.82401,-2.45E-03,-0.206894983,-1.502236584
102.825,-2.71E-03,-0.145328275,-1.532963361
102.826,-3.01E-03,-4.97E-02,-1.55728159
102.827,-3.34E-03,6.64E-02,-1.55873131
102.828,-3.54E-03,0.18920959,-1.550398534
102.829,-3.60E-03,0.297711929,-1.533120638
102.83,-3.52E-03,0.371587346,-1.514382544
102.831,-3.31E-03,0.397100113,-1.503761625
102.832,-3.03E-03,0.369538786,-1.506778644
102.833,-2.80E-03,0.292445999,-1.515972428
102.834,-2.68E-03,0.184205623,-1.520720311
102.835,-2.64E-03,0.079310848,-1.525650034
102.836,-2.69E-03,9.83E-03,-1.531746355
102.837,-2.82E-03,2.31E-03,-1.543657854
102.83801,-3.07E-03,6.38E-02,-1.543518039
102.839,-3.29E-03,0.185835699,-1.534783863
102.84,-3.39E-03,0.331737625,-1.510290196
102.841,-3.35E-03,0.450715568,-1.477344893
102.842,-3.20E-03,0.501197646,-1.457779785
102.843,-3.04E-03,0.466371217,-1.466416521
102.844,-2.95E-03,0.36104265,-1.493946766
102.845,-2.96E-03,0.234719337,-1.517852186
102.846,-3.06E-03,0.15602776,-1.527572051
102.847,-3.20E-03,0.176689064,-1.525508938
102.848,-3.28E-03,0.298328523,-1.506376895
102.849,-3.27E-03,0.460549112,-1.463666093
102.85,-3.21E-03,0.574043021,-1.420787652
,-2.02E-03,1.715250546,1.826219494
,-1.17E-02,-0.537870161,-1.911219908
